#No.	Label Name:	R	G	B	A
1	SFG_L_6_1	0	255	0	255
2	SFG_R_6_1	0	0	255	255
3	SFG_L_6_2	255	0	0	255
4	SFG_R_6_2	0	246	255	255
5	SFG_L_6_3	255	123	220	255
6	SFG_R_6_3	255	220	123	255
7	SFG_L_6_4	0	141	255	255
8	SFG_R_6_4	0	106	9	255
9	SFG_L_6_5	158	70	53	255
10	SFG_R_6_5	62	0	106	255
11	SFG_L_6_6	229	0	255	255
12	SFG_R_6_6	79	123	141	255
13	MFG_L_7_1	220	255	0	255
14	MFG_R_7_1	255	0	106	255
15	MFG_L_7_2	237	132	0	255
16	MFG_R_7_2	123	88	246	255
17	MFG_L_7_3	141	0	88	255
18	MFG_R_7_3	123	106	0	255
19	MFG_L_7_4	158	185	141	255
20	MFG_R_7_4	141	106	176	255
21	MFG_L_7_5	97	185	0	255
22	MFG_R_7_5	255	158	176	255
23	MFG_L_7_6	0	44	97	255
24	MFG_R_7_6	62	193	255	255
25	MFG_L_7_7	62	79	44	255
26	MFG_R_7_7	167	9	167	255
27	IFG_L_6_1	97	62	79	255
28	IFG_R_6_1	0	185	141	255
29	IFG_L_6_2	255	211	0	255
30	IFG_R_6_2	255	106	79	255
31	IFG_L_6_3	0	0	158	255
32	IFG_R_6_3	70	0	0	255
33	IFG_L_6_4	237	185	255	255
34	IFG_R_6_4	202	149	106	255
35	IFG_L_6_5	255	0	167	255
36	IFG_R_6_5	220	255	123	255
37	IFG_L_6_6	44	70	176	255
38	IFG_R_6_6	158	167	0	255
39	OrG_L_6_1	149	211	220	255
40	OrG_R_6_1	176	149	167	255
41	OrG_L_6_2	202	132	255	255
42	OrG_R_6_2	0	255	114	255
43	OrG_L_6_3	167	0	0	255
44	OrG_R_6_3	132	0	229	255
45	OrG_L_6_4	44	0	44	255
46	OrG_R_6_4	255	255	202	255
47	OrG_L_6_5	229	79	141	255
48	OrG_R_6_5	176	255	211	255
49	OrG_L_6_6	0	176	79	255
50	OrG_R_6_6	88	53	0	255
51	PrG_L_6_1	0	106	167	255
52	PrG_R_6_1	149	167	229	255
53	PrG_L_6_2	141	193	97	255
54	PrG_R_6_2	35	123	97	255
55	PrG_L_6_3	176	97	132	255
56	PrG_R_6_3	176	0	62	255
57	PrG_L_6_4	167	88	0	255
58	PrG_R_6_4	255	62	229	255
59	PrG_L_6_5	0	62	70	255
60	PrG_R_6_5	149	255	62	255
61	PrG_L_6_6	132	106	88	255
62	PrG_R_6_6	0	255	202	255
63	PCL_L_2_1	202	149	44	255
64	PCL_R_2_1	255	0	62	255
65	PCL_L_2_2	106	132	62	255
66	PCL_R_2_2	0	62	255	255
