#No.	Label Name:	R	G	B	A
171	MVOcC_L_5_1	0	106	106	255
172	MVOcC_R_5_1	255	246	123	255
173	MVOcC_L_5_2	88	255	229	255
174	MVOcC_R_5_2	211	237	255	255
175	MVOcC_L_5_3	97	35	255	255
176	MVOcC_R_5_3	106	9	141	255
177	MVOcC_L_5_4	132	62	149	255
178	MVOcC_R_5_4	106	114	79	255
179	MVOcC_L_5_5	132	255	193	255
180	MVOcC_R_5_5	158	0	132	255
181	LOcC_L_4_1	97	158	158	255
182	LOcC_R_4_1	202	0	202	255
183	LOcC_L_4_2	35	106	220	255
184	LOcC_R_4_2	35	44	0	255
185	LOcC_L_4_3	220	97	88	255
186	LOcC_R_4_3	114	123	185	255
187	LOcC_L_4_4	149	18	70	255
188	LOcC_R_4_4	211	202	255	255
