#No.	Label Name:	R	G	B	A
119	SPL_L_4_1	0	149	0	255
120	SPL_R_4_1	44	9	18	255
121	SPL_L_4_2	193	79	44	255
122	SPL_R_4_2	255	193	132	255
123	SPL_L_4_3	44	44	53	255
124	SPL_R_4_3	53	220	255	255
125	SPL_L_4_4	185	0	255	255
126	SPL_R_4_4	0	158	141	255
127	IPL_L_6_1	106	176	149	255
128	IPL_R_6_1	35	0	202	255
129	IPL_L_6_2	211	220	123	255
130	IPL_R_6_2	123	53	0	255
131	IPL_L_6_3	167	0	211	255
132	IPL_R_6_3	18	79	114	255
133	IPL_L_6_4	9	79	62	255
134	IPL_R_6_4	246	158	255	255
135	IPL_L_6_5	114	176	211	255
136	IPL_R_6_5	106	62	53	255
137	IPL_L_6_6	53	106	53	255
138	IPL_R_6_6	220	62	185	255
139	PCun_L_4_1	0	202	70	255
140	PCun_R_4_1	62	44	79	255
141	PCun_L_4_2	246	9	132	255
142	PCun_R_4_2	185	149	202	255
143	PCun_L_4_3	220	18	18	255
144	PCun_R_4_3	176	255	246	255
145	PCun_L_4_4	62	220	149	255
146	PCun_R_4_4	167	202	70	255
147	PoG_L_4_1	132	141	176	255
148	PoG_R_4_1	88	53	185	255
149	PoG_L_4_2	193	149	237	255
150	PoG_R_4_2	97	114	0	255
151	PoG_L_4_3	255	132	185	255
152	PoG_R_4_3	185	0	97	255
153	PoG_L_4_4	167	237	123	255
154	PoG_R_4_4	255	246	0	255
