#No.	Label Name:	R	G	B	A
2	SFG_R_6_1	0	0	255	255
4	SFG_R_6_2	0	246	255	255
6	SFG_R_6_3	255	220	123	255
8	SFG_R_6_4	0	106	9	255
10	SFG_R_6_5	62	0	106	255
12	SFG_R_6_6	79	123	141	255
14	MFG_R_7_1	255	0	106	255
16	MFG_R_7_2	123	88	246	255
18	MFG_R_7_3	123	106	0	255
20	MFG_R_7_4	141	106	176	255
22	MFG_R_7_5	255	158	176	255
24	MFG_R_7_6	62	193	255	255
26	MFG_R_7_7	167	9	167	255
28	IFG_R_6_1	0	185	141	255
30	IFG_R_6_2	255	106	79	255
32	IFG_R_6_3	70	0	0	255
34	IFG_R_6_4	202	149	106	255
36	IFG_R_6_5	220	255	123	255
38	IFG_R_6_6	158	167	0	255
40	OrG_R_6_1	176	149	167	255
42	OrG_R_6_2	0	255	114	255
44	OrG_R_6_3	132	0	229	255
46	OrG_R_6_4	255	255	202	255
48	OrG_R_6_5	176	255	211	255
50	OrG_R_6_6	88	53	0	255
52	PrG_R_6_1	149	167	229	255
54	PrG_R_6_2	35	123	97	255
56	PrG_R_6_3	176	0	62	255
58	PrG_R_6_4	255	62	229	255
60	PrG_R_6_5	149	255	62	255
62	PrG_R_6_6	0	255	202	255
64	PCL_R_2_1	255	0	62	255
66	PCL_R_2_2	0	62	255	255
68	STG_R_6_1	202	88	255	255
70	STG_R_6_2	106	44	106	255
72	STG_R_6_3	132	70	185	255
74	STG_R_6_4	149	149	255	255
76	STG_R_6_5	0	106	255	255
78	STG_R_6_6	176	167	79	255
80	MTG_R_4_1	0	0	70	255
82	MTG_R_4_2	88	141	0	255
84	MTG_R_4_3	26	211	18	255
86	MTG_R_4_4	88	88	132	255
88	ITG_R_5_1	114	0	0	255
90	ITG_R_5_2	167	211	9	255
92	ITG_R_5_3	26	141	79	255
94	ITG_R_5_4	106	220	202	255
96	ITG_R_5_5	149	97	44	255
98	FuG_R_3_1	0	26	141	255
100	FuG_R_3_2	255	176	9	255
102	FuG_R_3_3	123	237	97	255
104	PhG_R_6_1	220	132	193	255
106	PhG_R_6_2	211	193	141	255
108	PhG_R_6_3	79	97	176	255
110	PhG_R_6_4	193	79	97	255
112	PhG_R_6_5	220	193	53	255
114	PhG_R_6_6	220	97	229	255
116	pSTS_R_2_1	0	141	185	255
118	pSTS_R_2_2	114	106	229	255
120	SPL_R_4_1	44	9	18	255
122	SPL_R_4_2	255	193	132	255
124	SPL_R_4_3	53	220	255	255
126	SPL_R_4_4	0	158	141	255
128	IPL_R_6_1	35	0	202	255
130	IPL_R_6_2	123	53	0	255
132	IPL_R_6_3	18	79	114	255
134	IPL_R_6_4	246	158	255	255
136	IPL_R_6_5	106	62	53	255
138	IPL_R_6_6	220	62	185	255
140	PCun_R_4_1	62	44	79	255
142	PCun_R_4_2	185	149	202	255
144	PCun_R_4_3	176	255	246	255
146	PCun_R_4_4	167	202	70	255
148	PoG_R_4_1	88	53	185	255
150	PoG_R_4_2	97	114	0	255
152	PoG_R_4_3	185	0	97	255
154	PoG_R_4_4	255	246	0	255
156	INS_R_6_1	193	255	88	255
158	INS_R_6_2	0	62	141	255
160	INS_R_6_3	246	79	176	255
162	CG_R_5_1	123	123	132	255
164	CG_R_5_2	106	202	88	255
166	CG_R_5_3	158	88	149	255
168	CG_R_5_4	149	62	237	255
170	CG_R_5_5	97	79	44	255
172	MVOcC_R_5_1	255	246	123	255
174	MVOcC_R_5_2	211	237	255	255
176	MVOcC_R_5_3	106	9	141	255
178	MVOcC_R_5_4	106	114	79	255
180	MVOcC_R_5_5	158	0	132	255
182	LOcC_R_4_1	202	0	202	255
184	LOcC_R_4_2	35	44	0	255
186	LOcC_R_4_3	114	123	185	255
188	LOcC_R_4_4	211	202	255	255
189	mAmyg_L	255	120	62	255
190	mAmyg_R	255	117	60	255
191	lAmyg_L	255	115	59	255
192	lAmyg_R	255	112	57	255
193	rHipp_L	255	106	54	255
194	rHipp_R	255	103	53	255
195	cHipp_L	255	100	51	255
196	cHipp_R	255	97	49	255
197	vCa_L	255	95	48	255
198	vCa_R	255	92	46	255
199	GP_L	255	89	45	255
200	GP_R	255	86	43	255
201	NAC_L	255	83	42	255
202	NAC_R	255	80	40	255
203	vmPu_L	255	77	39	255
204	vmPu_R	255	74	37	255
205	dCa_L	255	71	36	255
206	dCa_R	255	68	34	255
207	dlPu_L	255	65	32	255
208	dlPu_R	255	62	31	255
209	mPFtha_L	255	59	29	255
210	mPFtha_R	255	56	28	255
211	mPMtha_L	255	53	26	255
212	mPMtha_R	255	49	25	255
213	Stha_L	255	46	23	255
214	Stha_R	255	43	21	255
215	rTtha_L	255	40	20	255
216	rTtha_R	255	37	18	255
217	PPtha_L	255	34	17	255
218	PPtha_R	255	31	15	255
219	Otha_L	255	28	14	255
220	Otha_R	255	25	12	255
221	cTtha_L	255	21	10	255
222	cTtha_R	255	18	9	255
223	lPFtha_L	255	15	7	255
224	lPFtha_R	255	12	6	255
225	BRAIN_STEM	255	9	4	255
226	CEREBELLUM_LEFT	255	6	3	255
227	CEREBELLUM_RIGHT	255	3	1	255
