#No.	Label Name:	R	G	B	A
189	mAmyg_L	255	120	62	255
190	mAmyg_R	255	117	60	255
191	lAmyg_L	255	115	59	255
192	lAmyg_R	255	112	57	255
193	rHipp_L	255	106	54	255
194	rHipp_R	255	103	53	255
195	cHipp_L	255	100	51	255
196	cHipp_R	255	97	49	255
197	vCa_L	255	95	48	255
198	vCa_R	255	92	46	255
199	GP_L	255	89	45	255
200	GP_R	255	86	43	255
201	NAC_L	255	83	42	255
202	NAC_R	255	80	40	255
203	vmPu_L	255	77	39	255
204	vmPu_R	255	74	37	255
205	dCa_L	255	71	36	255
206	dCa_R	255	68	34	255
207	dlPu_L	255	65	32	255
208	dlPu_R	255	62	31	255
209	mPFtha_L	255	59	29	255
210	mPFtha_R	255	56	28	255
211	mPMtha_L	255	53	26	255
212	mPMtha_R	255	49	25	255
213	Stha_L	255	46	23	255
214	Stha_R	255	43	21	255
215	rTtha_L	255	40	20	255
216	rTtha_R	255	37	18	255
217	PPtha_L	255	34	17	255
218	PPtha_R	255	31	15	255
219	Otha_L	255	28	14	255
220	Otha_R	255	25	12	255
221	cTtha_L	255	21	10	255
222	cTtha_R	255	18	9	255
223	lPFtha_L	255	15	7	255
224	lPFtha_R	255	12	6	255
225	BRAIN_STEM	255	9	4	255
226	CEREBELLUM_LEFT	255	6	3	255
227	CEREBELLUM_RIGHT	255	3	1	255
