#No.	Label Name:	R	G	B	A
67	STG_L_6_1	0	167	176	255
68	STG_R_6_1	202	88	255	255
69	STG_L_6_2	255	202	185	255
70	STG_R_6_2	106	44	106	255
71	STG_L_6_3	255	158	97	255
72	STG_R_6_3	132	70	185	255
73	STG_L_6_4	176	70	158	255
74	STG_R_6_4	149	149	255	255
75	STG_L_6_5	255	106	123	255
76	STG_R_6_5	0	106	255	255
77	STG_L_6_6	114	9	176	255
78	STG_R_6_6	176	167	79	255
79	MTG_L_4_1	229	79	0	255
80	MTG_R_4_1	0	0	70	255
81	MTG_L_4_2	53	35	18	255
82	MTG_R_4_2	88	141	0	255
83	MTG_L_4_3	0	35	9	255
84	MTG_R_4_3	26	211	18	255
85	MTG_L_4_4	123	44	62	255
86	MTG_R_4_4	88	88	132	255
87	ITG_L_5_1	211	229	211	255
88	ITG_R_5_1	114	0	0	255
89	ITG_L_5_2	202	246	167	255
90	ITG_R_5_2	167	211	9	255
91	ITG_L_5_3	246	141	123	255
92	ITG_R_5_3	26	141	79	255
93	ITG_L_5_4	0	18	44	255
94	ITG_R_5_4	106	220	202	255
95	ITG_L_5_5	70	79	0	255
96	ITG_R_5_5	149	97	44	255
97	FuG_L_3_1	185	114	106	255
98	FuG_R_3_1	0	26	141	255
99	FuG_L_3_2	0	255	158	255
100	FuG_R_3_2	255	176	9	255
101	FuG_L_3_3	123	202	141	255
102	FuG_R_3_3	123	237	97	255
103	PhG_L_6_1	79	88	88	255
104	PhG_R_6_1	220	132	193	255
105	PhG_L_6_2	114	0	114	255
106	PhG_R_6_2	211	193	141	255
107	PhG_L_6_3	185	193	220	255
108	PhG_R_6_3	79	97	176	255
109	PhG_L_6_4	88	0	53	255
110	PhG_R_6_4	193	79	97	255
111	PhG_L_6_5	70	53	123	255
112	PhG_R_6_5	220	193	53	255
113	PhG_L_6_6	185	167	149	255
114	PhG_R_6_6	220	97	229	255
115	pSTS_L_2_1	141	123	70	255
116	pSTS_R_2_1	0	141	185	255
117	pSTS_L_2_2	9	62	211	255
118	pSTS_R_2_2	114	106	229	255
